,epoch,step,reward,done,action,evaluation_state
106,21.0,0.0,1.0,0.0,1.0,1.0
107,21.0,1.0,1.0,0.0,2.0,1.0
108,21.0,2.0,1.0,0.0,2.0,1.0
109,21.0,3.0,1.0,0.0,2.0,1.0
110,21.0,4.0,0.0,1.0,2.0,1.0
111,22.0,0.0,1.0,0.0,1.0,0.0
112,22.0,1.0,1.0,0.0,2.0,0.0
113,22.0,2.0,1.0,0.0,1.0,0.0
114,22.0,3.0,1.0,0.0,2.0,0.0
115,22.0,4.0,0.0,1.0,2.0,0.0
116,23.0,0.0,1.0,0.0,1.0,1.0
117,23.0,1.0,1.0,0.0,2.0,1.0
118,23.0,2.0,1.0,0.0,2.0,1.0
119,23.0,3.0,1.0,0.0,2.0,1.0
120,23.0,4.0,0.0,1.0,2.0,1.0
121,24.0,0.0,1.0,0.0,1.0,0.0
122,24.0,1.0,1.0,0.0,2.0,0.0
123,24.0,2.0,1.0,0.0,0.0,0.0
124,24.0,3.0,1.0,0.0,1.0,0.0
125,24.0,4.0,1.0,0.0,1.0,0.0
126,24.0,5.0,0.0,1.0,2.0,0.0
127,25.0,0.0,1.0,0.0,1.0,1.0
128,25.0,1.0,1.0,0.0,2.0,1.0
129,25.0,2.0,1.0,0.0,2.0,1.0
130,25.0,3.0,1.0,0.0,2.0,1.0
131,25.0,4.0,0.0,1.0,0.0,1.0
132,26.0,0.0,1.0,0.0,1.0,0.0
133,26.0,1.0,1.0,0.0,0.0,0.0
134,26.0,2.0,1.0,0.0,0.0,0.0
135,26.0,3.0,1.0,0.0,2.0,0.0
136,26.0,4.0,0.0,1.0,2.0,0.0
137,27.0,0.0,1.0,0.0,1.0,1.0
138,27.0,1.0,1.0,0.0,2.0,1.0
139,27.0,2.0,1.0,0.0,2.0,1.0
140,27.0,3.0,1.0,0.0,2.0,1.0
141,27.0,4.0,0.0,1.0,2.0,1.0
142,28.0,0.0,1.0,0.0,1.0,0.0
143,28.0,1.0,1.0,0.0,0.0,0.0
144,28.0,2.0,1.0,0.0,0.0,0.0
145,28.0,3.0,1.0,0.0,2.0,0.0
146,28.0,4.0,0.0,1.0,0.0,0.0
147,29.0,0.0,1.0,0.0,1.0,1.0
148,29.0,1.0,1.0,0.0,2.0,1.0
149,29.0,2.0,1.0,0.0,2.0,1.0
150,29.0,3.0,1.0,0.0,2.0,1.0
151,29.0,4.0,0.0,1.0,2.0,1.0
152,30.0,0.0,1.0,0.0,1.0,0.0
153,30.0,1.0,1.0,0.0,0.0,0.0
154,30.0,2.0,1.0,0.0,0.0,0.0
155,30.0,3.0,1.0,0.0,2.0,0.0
156,30.0,4.0,0.0,1.0,2.0,0.0
157,31.0,0.0,1.0,0.0,1.0,1.0
158,31.0,1.0,1.0,0.0,2.0,1.0
159,31.0,2.0,1.0,0.0,2.0,1.0
160,31.0,3.0,1.0,0.0,2.0,1.0
161,31.0,4.0,0.0,1.0,2.0,1.0
162,32.0,0.0,1.0,0.0,2.0,0.0
163,32.0,1.0,1.0,0.0,2.0,0.0
164,32.0,2.0,1.0,0.0,2.0,0.0
165,32.0,3.0,1.0,0.0,2.0,0.0
166,32.0,4.0,1.0,0.0,2.0,0.0
167,32.0,5.0,0.0,1.0,2.0,0.0
168,33.0,0.0,1.0,0.0,1.0,1.0
169,33.0,1.0,1.0,0.0,2.0,1.0
170,33.0,2.0,1.0,0.0,2.0,1.0
171,33.0,3.0,1.0,0.0,2.0,1.0
172,33.0,4.0,0.0,1.0,2.0,1.0
173,34.0,0.0,1.0,0.0,1.0,0.0
174,34.0,1.0,1.0,0.0,1.0,0.0
175,34.0,2.0,1.0,0.0,2.0,0.0
176,34.0,3.0,1.0,0.0,2.0,0.0
177,34.0,4.0,0.0,1.0,2.0,0.0
178,35.0,0.0,1.0,0.0,1.0,1.0
179,35.0,1.0,1.0,0.0,2.0,1.0
180,35.0,2.0,1.0,0.0,2.0,1.0
181,35.0,3.0,1.0,0.0,2.0,1.0
182,35.0,4.0,0.0,1.0,2.0,1.0
183,36.0,0.0,1.0,0.0,1.0,0.0
184,36.0,1.0,1.0,0.0,0.0,0.0
185,36.0,2.0,1.0,0.0,1.0,0.0
186,36.0,3.0,1.0,0.0,2.0,0.0
187,36.0,4.0,0.0,1.0,1.0,0.0
188,37.0,0.0,1.0,0.0,1.0,1.0
189,37.0,1.0,1.0,0.0,2.0,1.0
190,37.0,2.0,1.0,0.0,0.0,1.0
191,37.0,3.0,1.0,0.0,2.0,1.0
192,37.0,4.0,1.0,0.0,2.0,1.0
193,37.0,5.0,1.0,0.0,2.0,1.0
194,37.0,6.0,0.0,1.0,2.0,1.0
195,38.0,0.0,1.0,0.0,1.0,0.0
196,38.0,1.0,1.0,0.0,2.0,0.0
197,38.0,2.0,1.0,0.0,2.0,0.0
198,38.0,3.0,1.0,0.0,1.0,0.0
199,38.0,4.0,0.0,1.0,1.0,0.0
200,39.0,0.0,1.0,0.0,1.0,1.0
201,39.0,1.0,1.0,0.0,2.0,1.0
202,39.0,2.0,1.0,0.0,2.0,1.0
203,39.0,3.0,1.0,0.0,2.0,1.0
204,39.0,4.0,0.0,1.0,2.0,1.0
205,40.0,0.0,1.0,0.0,0.0,0.0
206,40.0,1.0,1.0,0.0,2.0,0.0
207,40.0,2.0,1.0,0.0,2.0,0.0
208,40.0,3.0,1.0,0.0,2.0,0.0
209,40.0,4.0,0.0,1.0,2.0,0.0
210,41.0,0.0,1.0,0.0,1.0,1.0
211,41.0,1.0,1.0,0.0,2.0,1.0
212,41.0,2.0,1.0,0.0,2.0,1.0
213,41.0,3.0,1.0,0.0,2.0,1.0
214,41.0,4.0,0.0,1.0,2.0,1.0
215,42.0,0.0,1.0,0.0,2.0,0.0
216,42.0,1.0,1.0,0.0,2.0,0.0
217,42.0,2.0,1.0,0.0,1.0,0.0
218,42.0,3.0,1.0,0.0,0.0,0.0
219,42.0,4.0,0.0,1.0,2.0,0.0
220,43.0,0.0,1.0,0.0,1.0,1.0
221,43.0,1.0,1.0,0.0,2.0,1.0
222,43.0,2.0,1.0,0.0,2.0,1.0
223,43.0,3.0,1.0,0.0,2.0,1.0
224,43.0,4.0,0.0,1.0,2.0,1.0
225,44.0,0.0,1.0,0.0,1.0,0.0
226,44.0,1.0,1.0,0.0,1.0,0.0
227,44.0,2.0,1.0,0.0,2.0,0.0
228,44.0,3.0,1.0,0.0,0.0,0.0
229,44.0,4.0,0.0,1.0,2.0,0.0
230,45.0,0.0,1.0,0.0,1.0,1.0
231,45.0,1.0,1.0,0.0,2.0,1.0
232,45.0,2.0,1.0,0.0,2.0,1.0
233,45.0,3.0,1.0,0.0,2.0,1.0
234,45.0,4.0,0.0,1.0,2.0,1.0
235,46.0,0.0,1.0,0.0,1.0,0.0
236,46.0,1.0,1.0,0.0,2.0,0.0
237,46.0,2.0,1.0,0.0,1.0,0.0
238,46.0,3.0,1.0,0.0,1.0,0.0
239,46.0,4.0,0.0,1.0,0.0,0.0
240,47.0,0.0,1.0,0.0,1.0,1.0
241,47.0,1.0,1.0,0.0,2.0,1.0
242,47.0,2.0,1.0,0.0,2.0,1.0
243,47.0,3.0,1.0,0.0,2.0,1.0
244,47.0,4.0,0.0,1.0,2.0,1.0
245,48.0,0.0,1.0,0.0,2.0,0.0
246,48.0,1.0,1.0,0.0,2.0,0.0
247,48.0,2.0,1.0,0.0,2.0,0.0
248,48.0,3.0,1.0,0.0,2.0,0.0
249,48.0,4.0,1.0,0.0,2.0,0.0
250,48.0,5.0,0.0,1.0,2.0,0.0
251,49.0,0.0,1.0,0.0,1.0,1.0
252,49.0,1.0,1.0,0.0,1.0,1.0
253,49.0,2.0,1.0,0.0,0.0,1.0
254,49.0,3.0,1.0,0.0,1.0,1.0
255,49.0,4.0,0.0,1.0,0.0,1.0
256,50.0,0.0,1.0,0.0,1.0,0.0
257,50.0,1.0,1.0,0.0,2.0,0.0
258,50.0,2.0,1.0,0.0,0.0,0.0
259,50.0,3.0,1.0,0.0,2.0,0.0
260,50.0,4.0,1.0,0.0,1.0,0.0
261,50.0,5.0,0.0,1.0,1.0,0.0
262,51.0,0.0,1.0,0.0,1.0,1.0
263,51.0,1.0,1.0,0.0,2.0,1.0
264,51.0,2.0,1.0,0.0,0.0,1.0
265,51.0,3.0,1.0,0.0,2.0,1.0
266,51.0,4.0,1.0,0.0,2.0,1.0
267,51.0,5.0,1.0,0.0,0.0,1.0
268,51.0,6.0,0.0,1.0,1.0,1.0
269,52.0,0.0,1.0,0.0,1.0,0.0
270,52.0,1.0,1.0,0.0,0.0,0.0
271,52.0,2.0,1.0,0.0,1.0,0.0
272,52.0,3.0,0.0,1.0,1.0,0.0
273,53.0,0.0,1.0,0.0,1.0,1.0
274,53.0,1.0,1.0,0.0,1.0,1.0
275,53.0,2.0,1.0,0.0,1.0,1.0
276,53.0,3.0,1.0,0.0,1.0,1.0
277,53.0,4.0,0.0,1.0,2.0,1.0
278,54.0,0.0,1.0,0.0,2.0,0.0
279,54.0,1.0,1.0,0.0,1.0,0.0
280,54.0,2.0,1.0,0.0,2.0,0.0
281,54.0,3.0,0.0,1.0,1.0,0.0
282,55.0,0.0,1.0,0.0,1.0,1.0
283,55.0,1.0,1.0,0.0,1.0,1.0
284,55.0,2.0,1.0,0.0,1.0,1.0
285,55.0,3.0,1.0,0.0,1.0,1.0
286,55.0,4.0,0.0,1.0,1.0,1.0
287,56.0,0.0,1.0,0.0,1.0,0.0
288,56.0,1.0,1.0,0.0,0.0,0.0
289,56.0,2.0,1.0,0.0,1.0,0.0
290,56.0,3.0,0.0,1.0,1.0,0.0
291,57.0,0.0,1.0,0.0,1.0,1.0
292,57.0,1.0,1.0,0.0,1.0,1.0
293,57.0,2.0,1.0,0.0,1.0,1.0
294,57.0,3.0,1.0,0.0,1.0,1.0
295,57.0,4.0,0.0,1.0,1.0,1.0
296,58.0,0.0,1.0,0.0,1.0,0.0
297,58.0,1.0,1.0,0.0,1.0,0.0
298,58.0,2.0,1.0,0.0,1.0,0.0
299,58.0,3.0,0.0,1.0,1.0,0.0
300,59.0,0.0,1.0,0.0,1.0,1.0
301,59.0,1.0,1.0,0.0,1.0,1.0
302,59.0,2.0,1.0,0.0,2.0,1.0
303,59.0,3.0,1.0,0.0,1.0,1.0
304,59.0,4.0,0.0,1.0,2.0,1.0
305,60.0,0.0,1.0,0.0,1.0,0.0
306,60.0,1.0,1.0,0.0,0.0,0.0
307,60.0,2.0,1.0,0.0,1.0,0.0
308,60.0,3.0,0.0,1.0,0.0,0.0
309,61.0,0.0,1.0,0.0,1.0,1.0
310,61.0,1.0,1.0,0.0,1.0,1.0
311,61.0,2.0,1.0,0.0,2.0,1.0
312,61.0,3.0,1.0,0.0,2.0,1.0
313,61.0,4.0,0.0,1.0,2.0,1.0
314,62.0,0.0,1.0,0.0,1.0,0.0
315,62.0,1.0,1.0,0.0,0.0,0.0
316,62.0,2.0,1.0,0.0,1.0,0.0
317,62.0,3.0,0.0,1.0,0.0,0.0
318,63.0,0.0,1.0,0.0,1.0,1.0
319,63.0,1.0,1.0,0.0,0.0,1.0
320,63.0,2.0,1.0,0.0,2.0,1.0
321,63.0,3.0,1.0,0.0,2.0,1.0
322,63.0,4.0,1.0,0.0,2.0,1.0
323,63.0,5.0,1.0,0.0,2.0,1.0
324,63.0,6.0,0.0,1.0,2.0,1.0
325,64.0,0.0,1.0,0.0,1.0,0.0
326,64.0,1.0,1.0,0.0,2.0,0.0
327,64.0,2.0,1.0,0.0,0.0,0.0
328,64.0,3.0,1.0,0.0,0.0,0.0
329,64.0,4.0,1.0,0.0,1.0,0.0
330,64.0,5.0,0.0,1.0,0.0,0.0
331,65.0,0.0,1.0,0.0,1.0,1.0
332,65.0,1.0,1.0,0.0,1.0,1.0
333,65.0,2.0,1.0,0.0,2.0,1.0
334,65.0,3.0,1.0,0.0,2.0,1.0
335,65.0,4.0,0.0,1.0,2.0,1.0
336,66.0,0.0,1.0,0.0,1.0,0.0
337,66.0,1.0,1.0,0.0,1.0,0.0
338,66.0,2.0,1.0,0.0,0.0,0.0
339,66.0,3.0,0.0,1.0,1.0,0.0
340,67.0,0.0,1.0,0.0,1.0,1.0
341,67.0,1.0,1.0,0.0,1.0,1.0
342,67.0,2.0,1.0,0.0,1.0,1.0
343,67.0,3.0,1.0,0.0,2.0,1.0
344,67.0,4.0,0.0,1.0,2.0,1.0
345,68.0,0.0,1.0,0.0,0.0,0.0
346,68.0,1.0,1.0,0.0,0.0,0.0
347,68.0,2.0,1.0,0.0,0.0,0.0
348,68.0,3.0,1.0,0.0,2.0,0.0
349,68.0,4.0,0.0,1.0,2.0,0.0
350,69.0,0.0,1.0,0.0,1.0,1.0
351,69.0,1.0,1.0,0.0,0.0,1.0
352,69.0,2.0,1.0,0.0,0.0,1.0
